SEQUENCE_NUMBER,STATION_NAME,HIGHEST,LOWEST,AVERAGE_ANNUAL_AF,AVERAGE_ANNUAL_RAINFALL
0,ABERPORTH,7/2015,12/2012,16.0,933.5
1,ARMAGH,7/2015,12/2012,40.2,855.7
2,BALLYPATRICK FOREST,7/2015,12/2012,23.2,1415.9
3,BRADFORD,7/2015,12/2012,39.6,878.3
4,BRAEMAR,7/2015,12/2012,107.6,938.5
5,CAMBORNE,7/2015,12/2012,9.0,1085.9
6,CAMBRIDGE NIAB,7/2015,12/2012,39.7,536.2
7,CARDIFF BUTE PARK,7/2015,12/2012,37.3,1170.4
8,CHIVENOR,7/2015,12/2012,21.1,966.6
9,CWMYSTWYTH,6/2012,12/2012,96.0,1755.4
10,DUNSTAFFNAGE,7/2015,12/2012,28.0,1766.3
12,EASTBOURNE,7/2015,12/2012,16.9,795.4
13,ESKDALEMUIR,7/2015,12/2012,83.2,1936.7
14,HEATHROW,7/2015,12/2012,28.3,619.1
15,HURN,7/2015,12/2012,55.9,896.7
16,LERWICK,7/2011,12/2012,27.9,1276.2
17,LEUCHARS,7/2015,12/2012,56.7,748.4
18,LOWESTOFT,7/2012,12/2012,29.3,620.5
19,MANSTON,8/2011,12/2012,22.6,640.1
20,NAIRN,7/2015,12/2012,53.7,679.0
21,NEWTON RIGG,7/2015,12/2012,63.6,996.7
22,OXFORD,7/2015,12/2012,34.4,662.0
23,PAISLEY,7/2015,12/2012,42.9,1277.6
25,ROSS-ON-WYE,7/2015,12/2012,41.8,750.7
26,SHAWBURY,7/2015,12/2012,56.9,669.7
27,SHEFFIELD,7/2015,12/2012,26.3,789.3
29,STORNOWAY AIRPORT,7/2016,12/2012,23.1,1233.4
30,SUTTON BONINGTON,7/2015,12/2012,41.1,601.8
31,TIREE,7/2015,12/2012,10.2,1329.6
32,VALLEY,7/2015,12/2012,19.6,875.5
33,WADDINGTON,7/2015,12/2012,36.7,596.2
34,WHITBY,7/2015,12/2012,31.3,752.7
35,WICK AIRPORT,7/2015,12/2012,36.7,791.8
36,YEOVILTON,7/2015,12/2012,50.8,707.9
